gene_id,Satrom-mRNA-30mC_ACTTGA_L003_001
0610005C13Rik,87
0610006L08Rik,0
0610007P14Rik,2666
0610009B22Rik,1122
0610009E02Rik,25
0610009L18Rik,35
0610009O20Rik,1818
0610010B08Rik,0
0610010F05Rik,4133
0610010K14Rik,0
0610011F06Rik,662
0610012G03Rik,881
0610025J13Rik,0
0610030E20Rik,2
0610031O16Rik,0
0610037L13Rik,1087
0610038B21Rik,0
0610039H22Rik,149
0610039K10Rik,67
0610040B10Rik,134
0610040F04Rik,12
0610040J01Rik,1
0610043K17Rik,0
1010001N08Rik,0
1100001I12Rik,0
1110001J03Rik,539
1110002J07Rik,91
1110002L01Rik,239
1110002O04Rik,0
1110004E09Rik,1946
1110004F10Rik,4992
1110006O24Rik,17
1110007C09Rik,291
1110008F13Rik,1405
1110008L16Rik,1855
1110008P14Rik,166
1110012L19Rik,533
1110015O18Rik,0
1110017D15Rik,1
1110018N20Rik,450
1110019D14Rik,62
1110020A21Rik,13
1110025L11Rik,0
1110028F11Rik,0
1110028F18Rik,0
1110032A03Rik,391
1110032F04Rik,0
1110034G24Rik,317
1110036E04Rik,7
1110037F02Rik,8915
1110038B12Rik,0
1110038F14Rik,1177
1110046J04Rik,6
1110051M20Rik,1814
1110054M08Rik,1
1110057K04Rik,2958
1110057P08Rik,0
1110058D11Rik,0
1110058L19Rik,423
1110059E24Rik,2286
1110059G10Rik,907
1110065P20Rik,134
1190002F15Rik,563
1190002N15Rik,0
1190003K10Rik,0
1190005I06Rik,77
1190007I07Rik,593
1190028D05Rik,0
1200014J11Rik,7
1300002E11Rik,703
1300017J02Rik,27
1500002F19Rik,6
1500004A13Rik,280
1500009C09Rik,0
1500009L16Rik,12
1500011B03Rik,521
1500011K16Rik,322
1500012F01Rik,6125
1500012K07Rik,0
1500015A07Rik,189
1500015L24Rik,0
1500015O10Rik,1
1500017E21Rik,0
1500026H17Rik,1
1500035N22Rik,2
1520401A03Rik,47
1600002D24Rik,19
1600002H07Rik,689
1600002K03Rik,258
1600010M07Rik,20
1600012H06Rik,316
1600014C10Rik,863
1600014C23Rik,0
1600014K23Rik,0
1600015I10Rik,0
1600019K03Rik,0
1600020E01Rik,751
1600023N17Rik,0
1600025M17Rik,0
1600027J07Rik,0
1600029I14Rik,1
1600029O15Rik,4
1700001C02Rik,0
1700001C19Rik,0
1700001D01Rik,2
1700001F09Rik,0
1700001G01Rik,0
1700001G11Rik,91
1700001G17Rik,16
1700001J03Rik,6
1700001J11Rik,0
1700001K19Rik,20
1700001K23Rik,0
1700001L05Rik,99
1700001L19Rik,0
1700001O22Rik,6
1700001P01Rik,21
1700003C15Rik,0
1700003D09Rik,0
1700003E16Rik,11
1700003E24Rik,0
1700003F12Rik,7
1700003G13Rik,0
1700003G18Rik,0
1700003H04Rik,0
1700003I22Rik,0
1700003L19Rik,0
1700003M02Rik,0
1700003M07Rik,6
1700003O11Rik,0
1700003P14Rik,0
1700006A11Rik,0
1700006E09Rik,0
1700006F04Rik,0
1700006H20Rik,4
1700006H21Rik,0
1700007B14Rik,0
1700007E05Rik,0
1700007F19Rik,0
1700007G11Rik,0
1700007J10Rik,0
1700007K09Rik,11
1700007K13Rik,0
1700007L15Rik,270
1700007P06Rik,0
1700008C04Rik,0
1700008F21Rik,8
1700008I05Rik,8
1700008J07Rik,27
1700008K24Rik,0
1700008O03Rik,51
1700008P02Rik,0
1700009C05Rik,0
1700009J07Rik,0
1700009N14Rik,0
1700010B08Rik,0
1700010D01Rik,0
1700010H22Rik,17
1700010I02Rik,0
1700010I14Rik,42
1700010J16Rik,0
1700010K23Rik,0
1700010L04Rik,0
1700010N08Rik,0
1700011A15Rik,0
1700011B04Rik,4
1700011C11Rik,0
1700011E24Rik,2
1700011H14Rik,4
1700011I03Rik,0
1700011L22Rik,0
1700011M02Rik,0
1700012A03Rik,0
1700012B07Rik,1
1700012B09Rik,0
1700012C14Rik,0
1700012D01Rik,31
1700012D14Rik,21
1700012D16Rik,0
1700012H19Rik,0
1700012I11Rik,0
1700012J15Rik,0
1700012L04Rik,0
1700012P22Rik,0
1700013D24Rik,0
1700013F07Rik,115
1700013G24Rik,0
1700013H16Rik,0
1700013N06Rik,0
1700015C15Rik,0
1700015E13Rik,0
1700015F17Rik,0
1700015G11Rik,0
1700016B01Rik,0
1700016C15Rik,4
1700016C19Rik,0
1700016D06Rik,0
1700016G14Rik,5
1700016G22Rik,1
1700016H13Rik,0
1700016J18Rik,4
1700016K19Rik,28
1700016L04Rik,0
1700016L21Rik,2
1700016P04Rik,2
1700017B05Rik,11227
1700017D01Rik,0
1700017G19Rik,0
1700017J07Rik,0
1700017L05Rik,0
1700017M07Rik,0
1700017N19Rik,0
1700018A04Rik,0
1700018A23Rik,2
1700018B08Rik,2
1700018B24Rik,0
1700018C11Rik,0
1700018F24Rik,0
1700018G05Rik,0
1700018L02Rik,1
1700019A02Rik,7
1700019B03Rik,0
1700019B21Rik,0
1700019C18Rik,0
1700019D03Rik,755
1700019E08Rik,0
1700019F05Rik,0
1700019G17Rik,39
1700019G24Rik,0
1700019J19Rik,3
1700019L03Rik,36
1700019L22Rik,0
1700019M22Rik,0
1700019N19Rik,53
1700019O17Rik,0
1700019P21Rik,0
1700020A23Rik,15
1700020D05Rik,8
1700020D12Rik,0
1700020D14Rik,0
1700020G17Rik,0
1700020I14Rik,2611
1700020L24Rik,28
1700020M21Rik,0
1700020N01Rik,0
1700020N15Rik,0
1700020N18Rik,0
1700021F02Rik,0
1700021F05Rik,1493
1700021F07Rik,0
1700021G15Rik,0
1700021K19Rik,2853
1700021L23Rik,0
1700021N21Rik,0
1700022A21Rik,0
1700022A22Rik,0
1700022E09Rik,0
1700022H01Rik,3
1700022H16Rik,0
1700022I11Rik,8
1700022N22Rik,61
1700023C21Rik,0
